Variant_Name_INALI	Group_INALI	Family_INALI	Current_Autodenomination	InaliCode	AutoEntries_Count
mayo	mayo	yuto-nahua	yorem-nokki SONORA: Álamos: Álamos, Anáhuac, Basiroa, California (Sector Cuatro), Cochibampo, Chorijoa, El Cajón del Sabino	NULL	1
mexicano alto de occidente	náhuatl	yuto-nahua	NULL	NULL	1
mexicano bajo de occidente	náhuatl	yuto-nahua	NULL	NULL	1
mexicano central bajo	náhuatl	yuto-nahua	NULL	NULL	1
mexicano central de occidente	náhuatl	yuto-nahua	NULL	NULL	1
mexicano de Guerrero	náhuatl	yuto-nahua	NULL	NULL	1
mexicano de la Huasteca Reforma, Los Naranjos, Oxpantla, Pahactla, Palo Gordo, Plan Huasteca, Pochoica, Poxtla Atlajco, Rancho las Flores, Hidalguense	náhuatl	yuto-nahua	NULL	NULL	1
mexicano de occidente	náhuatl	yuto-nahua	NULL	NULL	1
mexicano de Puente de Ixtla	náhuatl	yuto-nahua	NULL	NULL	1
mexicano de Temixco	náhuatl	yuto-nahua	NULL	NULL	1
mexicano de Tetela del Volcán	náhuatl	yuto-nahua	NULL	NULL	1
mexicano del centro	náhuatl	yuto-nahua	NULL	NULL	1
mexicano del centro alto	náhuatl	yuto-nahua	NULL	NULL	1
mexicano del centro bajo	náhuatl	yuto-nahua	NULL	NULL	1
mexicano del noroeste	náhuatl	yuto-nahua	NULL	NULL	1
mexicano del oriente	náhuatl	yuto-nahua	NULL	NULL	1
mexicano del oriente central	náhuatl	yuto-nahua	NULL	NULL	1
mexicano del oriente de Puebla	náhuatl	yuto-nahua	NULL	NULL	1
náhuatl alto del norte de Puebla	náhuatl	yuto-nahua	NULL	NULL	2
náhuatl central de Veracruz	náhuatl	yuto-nahua	NULL	NULL	2
náhuatl de la Huasteca [Tolico], Tzicatipa, Xiloxochico, Xochioloco, Yupiltitla. Castillo de Teayo: Américas Chicas, Casa Quemada, Casperal, veracruzana	náhuatl	yuto-nahua	NULL	NULL	0
náhuatl de la Huasteca potosina	náhuatl	yuto-nahua	NULL	NULL	3
náhuatl de la Sierra negra, norte	náhuatl	yuto-nahua	NULL	NULL	3
náhuatl de la Sierra negra, sur	náhuatl	yuto-nahua	NULL	NULL	2
náhuatl de la Sierra oeste de Coaltepec, San Marcos Eloxochitlán, Tecomatepec Tres Cruces, Tepantzingo, Tinixcatl, Tlacomulco, Tlacotepec (San Puebla	náhuatl	yuto-nahua	NULL	NULL	1
náhuatl de la Sierra, noreste de Lagunilla, La Manigua, La Quebradora, La Unión, Las Ceibas, Las Cibeles, Las Cruces, Los Aguacates, Los Mangos, Puebla	náhuatl	yuto-nahua	mexicano tlajtol PUEBLA: Atempan: Apatauyan, Atempan, Atzalán, Cala Norte, Cala Sur, El Cuatro, Huexoteno, Las Canoas, Las	NULL	0
náhuatl de Oaxaca	náhuatl	yuto-nahua	NULL	NULL	1
náhuatl del centro de Puebla	náhuatl	yuto-nahua	NULL	NULL	1
náhuatl del Istmo	náhuatl	yuto-nahua	NULL	NULL	1
náhuatl del Istmo bajo	náhuatl	yuto-nahua	NULL	NULL	2
náhuatl del noreste central	náhuatl	yuto-nahua	NULL	NULL	3
pápago	pápago	yuto-nahua	NULL	NULL	2
pima del este	pima	yuto-nahua	NULL	NULL	1
pima del norte	pima	yuto-nahua	oob no’ok (del norte) CHIHUAHUA: Madera: Agua Amarilla, Ciudad Madera, Ejido el Lago, El Cable, El Campo Seis, El Cordón, El Cuatro, El	NULL	1
pima del sur	pima	yuto-nahua	NULL	NULL	1
tarahumara de Cumbres	tarahumara	yuto-nahua	NULL	NULL	1
tarahumara del centro	tarahumara	yuto-nahua	NULL	NULL	1
tarahumara del norte	tarahumara	yuto-nahua	NULL	NULL	1
tarahumara del oeste	tarahumara	yuto-nahua	NULL	NULL	1
tarahumara del sur	tarahumara	yuto-nahua	NULL	NULL	1
tepehuano del norte	tepehuano del norte	yuto-nahua	odami CHIHUAHUA: Guadalupe y Calvo: Agua Amarilla, Agua Zarca, Algarrobos, Alisos de Arriba (El Rincón de Alisos),	NULL	1
tepehuano del sur alto	tepehuano del sur	yuto-nahua	NULL	NULL	1
tepehuano del sur bajo	tepehuano del sur	yuto-nahua	NULL	NULL	1
tepehuano del sur central	tepehuano del sur	yuto-nahua	NULL	NULL	1
yaqui	yaqui	yuto-nahua	hiak-nooki SONORA: Bácum: Abelardo Rodríguez, Agua Caliente, Algodones, Armida, Bacatete, Bácum, Bataconcica (Museo	NULL	1
